banking_crisis,bear_market,bull_market,business_confidence,consumer_confidence,debt_crisis,economic_growth,economic_recession,economic_recovery,financial_crisis,inflation,job_creation,job_losses,low_unemployment,recession,stock_market_crash,stock_market_optimism,stock_market_rally,strong_economy,unemployement,Date,SP500,SP500_return_w,SP500_vol_w_4,VIX,VIX_change_w
39,3,17,45,28,42,59,23,25,31,71,55,16,12,6,7,0,0,49,4,2017-03-17 23:59:59.999999999,2378.25,0.00237848169955,0.0052786413982232,11.279999732971191,-0.0331329454387603
53,3,15,72,29,41,68,30,29,38,73,40,14,16,7,7,0,15,46,5,2017-03-24 23:59:59.999999999,2343.97998046875,-0.0145145921817883,0.0092277869698281,12.960000038146973,0.1388364714704219
47,3,16,100,78,37,69,28,35,48,77,55,16,19,7,7,0,0,48,4,2017-03-31 23:59:59.999999999,2362.719970703125,0.0079631544210467,0.0096753636669038,12.369999885559082,-0.0465935167146602
53,3,13,84,39,46,71,31,27,43,72,49,21,19,7,7,0,0,55,5,2017-04-07 23:59:59.999999999,2355.5400390625,-0.003043468214084,0.009591417929102,12.869999885559082,0.0396248355630595
56,3,13,96,37,46,65,24,29,42,75,40,13,17,6,5,0,0,56,6,2017-04-14 23:59:59.999999999,2328.949951171875,-0.0113525158649662,0.010042060036632,15.960000038146973,0.2151865816958568
65,3,14,59,28,49,72,34,31,46,79,54,18,22,7,5,0,0,55,5,2017-04-21 23:59:59.999999999,2348.68994140625,0.0084401997042637,0.0095181183537868,14.630000114440918,-0.0870113715574453
73,3,14,79,44,53,100,38,51,55,90,64,25,19,8,7,0,0,59,6,2017-04-28 23:59:59.999999999,2384.199951171875,0.0150059168529848,0.0117484836243202,10.81999969482422,-0.3016779776408293
58,3,14,80,41,63,83,33,33,46,81,75,13,20,7,6,0,0,56,5,2017-05-05 23:59:59.999999999,2399.2900390625,0.0063092587122258,0.0112610621915094,10.56999969482422,-0.0233764742032844
59,3,13,63,30,46,68,32,31,39,79,47,16,19,7,6,0,0,58,4,2017-05-12 23:59:59.999999999,2390.89990234375,-0.0035030532823366,0.007663692256655,10.399999618530272,-0.0162140015427199
36,3,13,25,26,38,46,21,26,31,60,40,14,17,6,7,0,0,45,4,2017-05-19 23:59:59.999999999,2381.72998046875,-0.0038427170696693,0.0090043706493056,12.039999961853027,0.1464286672447769
21,3,11,34,22,39,48,19,25,27,55,49,15,12,5,4,0,0,28,4,2017-05-26 23:59:59.999999999,2415.820068359375,0.0142116961002456,0.0086683434966573,9.8100004196167,-0.2048321203606678
28,2,10,37,22,28,37,15,16,27,56,50,22,12,4,4,0,0,33,4,2017-06-02 23:59:59.999999999,2439.070068359375,0.0095780448534083,0.0091860050030665,9.75,-0.0061350313418981
28,3,9,31,16,29,37,16,18,27,50,31,0,11,5,4,0,0,32,4,2017-06-09 23:59:59.999999999,2431.77001953125,-0.0029974518408077,0.0090487649831973,10.699999809265137,0.0929764386324163
23,2,10,40,20,26,35,12,13,26,54,37,13,9,4,3,0,0,21,5,2017-06-16 23:59:59.999999999,2433.14990234375,0.0005672787514136,0.0079364136976853,10.380000114440918,-0.030362834879293
23,4,9,31,22,26,32,11,14,31,49,33,19,9,4,3,0,0,22,4,2017-06-23 23:59:59.999999999,2438.300048828125,0.0021144211496616,0.0052936668207434,10.020000457763672,-0.0352977474211642
22,3,9,47,27,36,30,10,11,33,47,21,9,10,4,3,0,0,22,5,2017-06-30 23:59:59.999999999,2423.409912109375,-0.0061254922226571,0.0036935325411613,11.18000030517578,0.1095433536818194
27,4,12,32,16,25,29,10,11,27,49,40,16,13,4,3,0,0,13,4,2017-07-07 23:59:59.999999999,2425.179931640625,0.0007301172781857,0.0036971295229943,11.1899995803833,0.0008939898010407
25,3,9,23,14,24,30,11,11,27,47,35,12,9,4,2,0,0,21,4,2017-07-14 23:59:59.999999999,2459.27001953125,0.0139588456287342,0.0083440703654442,9.510000228881836,-0.1626765841997856
15,2,10,42,19,20,29,11,15,25,49,36,12,8,4,3,0,0,17,4,2017-07-21 23:59:59.999999999,2472.5400390625,0.0053814122596416,0.0084310686417359,9.359999656677246,-0.0158986468150707
0,3,10,42,27,27,28,12,11,25,49,43,15,9,4,3,0,20,19,5,2017-07-28 23:59:59.999999999,2472.10009765625,-0.000177946784901,0.0064664912887732,10.289999961853027,0.0947272923290509
23,3,11,31,30,32,34,11,11,23,47,57,13,16,4,3,0,0,35,4,2017-08-04 23:59:59.999999999,2476.830078125,0.0019115169303198,0.0062307831029686,10.029999732971191,-0.0255919707879374
31,3,9,34,18,20,24,7,10,27,47,73,0,12,3,4,0,0,16,3,2017-08-11 23:59:59.999999999,2441.320068359375,-0.0144406436515716,0.0087132278909405,15.510000228881836,0.4359044165946646
21,3,10,33,15,18,26,6,10,21,41,71,10,10,3,4,0,0,0,4,2017-08-18 23:59:59.999999999,2425.550048828125,-0.0064805817060451,0.0073524182465818,14.260000228881836,-0.0840265609087273
0,3,8,31,18,25,33,12,10,20,43,57,0,7,4,3,0,0,19,4,2017-08-25 23:59:59.999999999,2443.050048828125,0.0071889557643515,0.0095032023005839,11.279999732971191,-0.2344272086396235
14,3,9,41,23,22,44,12,7,26,48,55,9,11,4,3,0,0,29,4,2017-09-01 23:59:59.999999999,2476.550048828125,0.0136192036504155,0.0127500421619804,10.130000114440918,-0.107529892839326
14,2,10,41,19,29,53,15,12,23,50,36,9,14,4,3,0,0,47,4,2017-09-08 23:59:59.999999999,2461.429931640625,-0.0061240282473121,0.0099973479539067,12.119999885559082,0.1793556416410285
16,2,10,41,20,33,56,15,14,27,58,37,0,6,5,3,0,0,43,4,2017-09-15 23:59:59.999999999,2500.22998046875,0.0156402657354442,0.0098216286059787,10.170000076293944,-0.1754147536365169
