Date,banking_crisis,bear_market,bull_market,business_confidence,consumer_confidence,debt_crisis,economic_growth,economic_recession,economic_recovery,financial_crisis,inflation,job_creation,job_losses,low_unemployment,recession,stock_market_crash,stock_market_optimism,stock_market_rally,strong_economy,unemployement
2019-03-03,47,4,17,53,29,52,77,31,27,36,82,42,19,21,10,7,0,0,55,4
2019-03-10,45,4,20,43,27,34,63,26,22,35,74,43,14,20,9,7,0,19,51,4
2019-03-17,27,4,15,53,20,40,65,30,20,31,78,38,18,17,10,7,0,0,56,4
2019-03-24,52,3,12,51,32,38,66,30,27,35,86,21,10,23,12,7,0,0,66,3
2019-03-31,45,4,15,69,28,42,71,35,30,35,84,39,16,19,10,6,0,0,70,4
2019-04-07,38,3,14,49,21,43,75,38,33,39,87,36,16,27,10,6,0,0,59,5
2019-04-14,32,3,12,67,25,40,65,33,34,35,82,34,0,23,8,5,0,0,64,4
2019-04-21,45,3,14,67,30,52,77,35,35,41,85,39,13,29,9,6,0,0,61,5
2019-04-28,46,3,13,46,24,55,90,37,29,41,91,52,19,40,9,7,0,0,82,4
2019-05-05,45,4,11,40,23,52,77,36,21,36,83,40,12,33,9,7,0,0,78,4
2019-05-12,40,4,13,50,24,37,57,25,27,33,78,28,13,21,9,7,0,0,66,4
2019-05-19,16,3,12,21,16,38,47,27,18,27,65,29,12,14,7,5,0,0,68,3
2019-05-26,25,3,9,40,23,32,38,17,13,26,59,18,8,13,8,4,0,0,55,3
2019-06-02,28,4,11,53,19,38,38,20,10,25,58,38,8,16,10,4,0,0,47,4
2019-06-09,24,4,10,46,15,39,37,18,11,24,58,30,12,15,8,3,0,0,30,3
2019-06-16,0,3,9,41,10,31,35,15,10,23,59,29,0,18,8,3,0,0,44,4
2019-06-23,17,3,8,46,42,50,33,17,10,22,60,28,15,15,7,2,0,0,26,4
2019-06-30,21,3,8,34,18,30,31,16,11,18,55,37,13,12,8,2,0,0,39,3
2019-07-07,25,3,10,42,15,34,34,15,12,24,58,38,0,14,8,2,0,0,37,4
2019-07-14,16,3,9,0,19,41,32,17,13,23,57,30,13,16,7,2,0,0,39,4
2019-07-21,19,3,8,32,15,37,30,18,13,22,58,26,11,17,8,3,0,0,40,3
2019-07-28,24,3,9,42,26,31,28,11,8,25,59,28,14,14,9,3,0,0,38,4
2019-08-04,15,4,9,36,22,31,24,15,12,21,48,29,12,11,11,5,0,0,24,4
2019-08-11,16,4,11,37,20,28,28,49,7,25,55,26,0,10,62,7,0,18,28,3
2019-08-18,22,3,9,47,27,35,37,47,11,20,56,34,11,8,42,4,0,0,38,4
2019-08-25,14,3,8,44,51,23,44,35,11,21,56,26,16,11,27,3,0,0,43,3
2019-09-01,16,3,7,48,25,37,45,28,10,23,57,35,12,16,15,3,0,0,47,3
2019-09-08,25,2,9,51,21,41,60,32,12,27,67,35,16,16,15,3,0,0,57,3
2019-09-15,26,3,10,66,27,38,63,30,15,33,71,36,10,14,14,3,0,0,56,4
2019-09-22,30,3,8,62,48,27,70,33,16,31,71,36,12,17,13,3,0,0,63,3
2019-09-29,31,3,9,60,33,42,66,34,16,29,73,41,16,29,12,4,0,0,59,3
2019-10-06,43,3,8,48,33,44,66,32,16,30,76,42,12,27,11,4,0,0,65,3
